time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
0.79,index,14.03,15.46,1.42,13.77,121.4,145,ok
1.19,index,12.03,12.46,1.46,13.12,119.7,134,ok
1.80,index,14.04,15.46,1.42,13.48,120.0,142,ok
1.99,index,,,,,,,No finger detected.
2.60,index,9.42,9.03,1.55,7.94,93.9,69,ok
3.00,index,8.61,12.26,1.78,8.63,104.5,90,ok
3.40,index,11.03,13.06,1.77,8.15,101.0,112,ok
3.99,index,9.97,12.65,1.56,8.74,99.3,105,ok
4.39,index,10.01,12.63,1.56,8.8,99.8,117,ok
5.00,index,10.04,11.43,1.79,7.94,100.2,77,ok
5.40,index,9.91,12.65,1.59,8.51,98.7,77,ok
5.99,index,10.05,12.81,1.56,8.73,99.5,100,ok
6.39,index,9.96,11.01,1.8,7.79,99.5,113,ok
7.00,index,10.11,12.93,1.6,8.54,99.3,103,ok
7.59,index,10.03,11.41,1.73,8.13,100.1,80,ok
8.00,index,9.84,11.01,1.79,7.66,98.3,117,ok
8.59,index,10.0,11.31,1.75,8.02,99.9,79,ok
8.99,index,10.0,12.51,1.57,8.68,99.4,101,ok
9.59,index,10.91,12.61,1.57,8.82,100.3,116,ok
10.19,index,10.02,11.33,1.68,8.31,100.0,81,ok
10.59,index,10.02,12.03,1.58,8.66,99.5,98,ok
11.19,index,9.93,11.13,1.72,8.02,99.0,118,ok
11.59,index,9.88,11.03,1.68,8.1,98.6,117,ok
12.19,index,10.0,11.31,1.66,8.35,99.8,75,ok
12.59,index,9.94,11.11,1.7,8.12,99.3,115,ok
13.20,index,10.03,11.01,1.68,8.33,100.2,117,ok
13.59,index,10.0,12.91,1.51,9.03,99.8,80,ok
14.19,index,10.07,11.51,1.65,8.22,98.7,98,ok
14.79,index,10.06,11.11,1.73,8.18,100.5,120,ok
15.19,index,10.02,11.31,1.74,8.08,100.1,78,ok
15.79,index,10.13,11.41,1.72,8.32,101.2,77,ok
16.19,index,10.1,11.51,1.72,8.19,100.4,98,ok
16.79,index,9.92,11.21,1.72,8.02,99.1,116,ok
17.19,index,9.91,11.31,1.75,8.21,101.2,101,ok
17.79,index,10.12,11.41,1.68,8.47,101.1,116,ok
18.39,index,9.93,11.31,1.72,8.43,101.9,102,ok
18.80,index,9.99,11.11,1.72,8.18,100.2,102,ok
19.39,index,9.91,11.21,1.7,8.35,100.9,101,ok
19.79,index,10.07,11.41,1.68,8.51,101.4,100,ok
20.39,index,9.9,11.23,1.72,8.58,102.8,101,ok
20.99,index,9.93,11.21,1.72,8.24,100.7,102,ok
21.38,index,10.07,11.33,1.76,8.23,101.5,99,ok
21.99,index,10.06,11.31,1.75,8.11,100.5,115,ok
22.39,index,10.03,11.21,1.72,8.34,101.4,103,ok
22.98,index,9.95,11.21,1.74,7.96,99.2,99,ok
23.39,index,10.14,11.31,1.75,8.22,101.3,116,ok
23.99,index,9.92,11.21,1.77,7.94,99.8,102,ok
24.39,index,11.17,13.01,1.54,8.99,100.5,115,ok
24.99,index,9.99,11.21,1.75,8.11,100.5,103,ok
25.59,index,9.9,11.21,1.73,8.28,101.2,99,ok
25.99,index,9.86,11.21,1.71,8.37,101.3,100,ok
26.58,index,11.1,12.01,1.61,8.77,101.2,112,ok
26.99,index,9.87,11.11,1.76,8.18,101.2,101,ok
27.59,index,9.85,11.23,1.76,8.33,102.2,101,ok
27.99,index,10.02,11.23,1.72,8.24,100.5,99,ok
28.59,index,10.11,11.43,1.7,8.65,102.8,100,ok
28.99,index,9.93,11.23,1.73,8.25,100.9,101,ok
29.59,index,9.99,11.33,1.73,8.47,102.3,102,ok
29.99,index,10.12,11.33,1.69,8.34,100.4,99,ok
30.58,index,9.89,11.11,1.72,8.33,101.2,101,ok
31.19,index,10.03,11.41,1.69,8.58,102.2,102,ok
31.60,index,9.82,11.21,1.71,8.37,101.3,101,ok
