time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
0.80,middle,10.12,13.03,1.49,9.34,101.0,73,ok
1.20,middle,11.52,13.03,1.54,9.02,100.6,115,ok
1.39,middle,,,,,,,No finger detected.
1.60,middle,,,,,,,No finger detected.
1.79,middle,,,,,,,No finger detected.
2.19,middle,11.63,15.47,1.08,16.19,115.7,87,ok
2.59,middle,13.09,14.75,1.21,13.29,110.4,131,ok
2.99,middle,10.61,14.07,1.29,11.54,105.5,121,ok
3.60,middle,11.77,12.76,1.41,10.89,106.7,115,ok
4.00,middle,10.81,13.13,1.41,10.81,106.5,104,ok
4.38,middle,10.51,12.83,1.43,10.44,105.2,105,ok
4.99,middle,11.12,13.32,1.5,10.06,105.6,107,ok
5.39,middle,10.83,13.42,1.47,10.51,107.1,105,ok
5.98,middle,10.83,13.41,1.46,10.65,107.5,106,ok
6.38,middle,11.28,13.01,1.52,10.29,107.5,112,ok
6.99,middle,12.47,14.92,1.35,11.4,107.5,122,ok
7.58,middle,11.23,13.11,1.53,10.36,108.3,110,ok
7.98,middle,10.57,13.11,1.54,10.24,107.9,102,ok
8.59,middle,10.81,13.11,1.55,10.27,108.4,104,ok
9.18,middle,11.09,13.41,1.5,10.43,107.6,108,ok
9.58,middle,11.71,13.41,1.52,10.55,109.0,114,ok
10.19,middle,10.94,13.11,1.54,10.32,108.4,108,ok
10.59,middle,11.92,13.11,1.55,10.27,108.4,118,ok
11.18,middle,10.43,13.13,1.53,10.49,108.9,100,ok
11.79,middle,12.53,13.13,1.51,10.52,108.4,125,ok
12.19,middle,11.31,13.41,1.47,10.84,108.9,111,ok
12.78,middle,11.08,13.21,1.53,10.49,109.0,109,ok
13.18,middle,10.96,13.41,1.46,10.97,109.2,108,ok
13.79,middle,11.23,13.41,1.47,10.84,108.9,109,ok
14.39,middle,10.75,13.11,1.5,10.56,108.4,106,ok
14.99,middle,10.66,13.11,1.49,10.73,109.0,104,ok
15.39,middle,10.52,13.11,1.47,10.7,108.1,102,ok
15.99,middle,11.29,13.11,1.49,10.62,108.4,110,ok
16.59,middle,10.95,13.01,1.48,10.77,108.9,106,ok
17.18,middle,11.18,13.33,1.44,10.98,108.5,109,ok
17.79,middle,11.14,13.03,1.48,10.55,107.5,108,ok
18.39,middle,10.87,13.01,1.49,10.62,108.4,105,ok
18.99,middle,11.08,13.01,1.47,10.73,108.3,108,ok
19.39,middle,10.81,13.33,1.41,10.87,106.8,106,ok
19.99,middle,11.01,12.91,1.44,10.76,107.4,108,ok
20.59,middle,10.85,13.01,1.44,10.71,107.2,106,ok
