time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
0.60,pinky,8.77,12.61,1.76,7.63,97.4,91,ok
1.19,pinky,,,,,,,No finger detected.
1.40,pinky,,,,,,,No finger detected.
1.99,pinky,9.0,8.72,2.13,5.82,89.8,111,ok
2.40,pinky,8.54,9.75,1.77,6.04,85.0,102,ok
2.79,pinky,8.8,9.63,1.86,6.13,87.7,115,ok
3.19,pinky,11.96,13.15,2.15,5.96,91.3,118,ok
3.80,pinky,9.69,9.95,1.91,5.99,87.3,94,ok
4.20,pinky,7.4,9.33,1.92,5.85,86.3,85,ok
4.79,pinky,9.62,9.43,1.85,6.01,86.4,92,ok
5.20,pinky,9.62,9.84,1.84,6.21,88.0,99,ok
5.80,pinky,9.23,9.13,1.77,6.23,86.7,95,ok
6.20,pinky,8.52,11.94,1.79,6.15,86.4,91,ok
6.80,pinky,8.68,11.94,1.81,6.11,86.5,101,ok
7.40,pinky,8.64,11.94,1.81,6.07,86.1,104,ok
7.80,pinky,8.76,11.94,1.78,6.28,87.3,106,ok
8.40,pinky,9.97,11.94,1.81,6.06,86.1,101,ok
9.00,pinky,11.45,13.45,1.76,6.3,87.1,113,ok
9.40,pinky,9.54,9.84,1.95,5.86,87.0,93,ok
10.00,pinky,9.51,9.94,1.95,5.83,86.7,93,ok
10.40,pinky,12.41,12.24,1.94,5.96,87.7,125,ok
11.00,pinky,8.56,9.53,2.11,5.54,86.7,84,ok
11.40,pinky,10.15,10.53,2.02,5.8,87.8,105,ok
11.80,pinky,8.7,12.03,1.9,5.93,86.8,110,ok
12.40,pinky,11.37,12.43,1.86,6.05,87.1,116,ok
12.79,pinky,7.43,9.32,2.08,5.64,87.3,76,ok
13.40,pinky,7.65,9.42,2.08,5.71,87.9,78,ok
14.00,pinky,7.76,9.52,2.08,5.65,87.4,77,ok
14.39,pinky,8.86,9.74,2.1,5.72,88.3,106,ok
15.00,pinky,8.86,9.62,2.09,5.74,88.4,108,ok
15.40,pinky,7.29,9.52,2.09,5.76,88.6,76,ok
16.00,pinky,7.63,9.43,2.08,5.78,88.5,79,ok
16.40,pinky,7.12,9.43,2.04,5.79,87.9,75,ok
17.00,pinky,7.06,9.53,2.07,5.89,89.3,74,ok
17.40,pinky,8.85,9.42,2.07,5.76,88.3,104,ok
17.80,pinky,7.82,8.53,2.1,5.72,88.3,79,ok
18.39,pinky,7.7,8.12,2.05,5.88,89.0,80,ok
18.79,pinky,8.85,7.73,1.99,5.92,88.2,102,ok
19.38,pinky,7.68,9.53,2.04,5.92,89.1,77,ok
19.80,pinky,7.39,9.62,2.04,5.84,88.5,78,ok
20.20,pinky,7.65,9.62,2.03,5.86,88.5,78,ok
20.80,pinky,8.99,12.33,1.84,6.41,89.7,107,ok
21.19,pinky,7.6,9.52,2.04,5.92,89.2,79,ok
21.79,pinky,7.86,8.62,2.04,5.88,88.8,80,ok
22.19,pinky,7.84,8.32,2.1,5.82,89.3,80,ok
22.80,pinky,9.41,12.33,1.83,6.43,89.7,96,ok
23.20,pinky,7.65,8.32,2.06,5.9,89.4,78,ok
23.79,pinky,7.83,9.52,2.03,5.88,88.7,79,ok
24.40,pinky,7.85,8.42,2.06,5.8,88.5,79,ok
24.80,pinky,8.86,12.43,1.82,6.3,88.3,111,ok
25.39,pinky,7.8,8.62,2.06,5.91,89.4,79,ok
25.79,pinky,7.52,12.33,1.83,6.4,89.4,77,ok
26.40,pinky,7.76,8.32,1.97,6.02,88.9,79,ok
