time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
0.63,ring,10.61,13.03,1.35,11.1,105.8,106,ok
1.23,ring,10.55,11.83,1.31,11.27,105.2,114,ok
1.42,ring,,,,,,,No finger detected.
2.03,ring,7.47,8.62,1.17,6.55,74.5,86,ok
2.43,ring,7.75,5.91,1.06,7.61,77.3,121,ok
2.83,ring,9.83,12.26,0.8,12.92,89.1,99,ok
3.42,ring,9.24,12.44,0.88,12.57,92.1,128,ok
3.82,ring,9.19,12.45,0.74,14.63,91.6,132,ok
4.43,ring,11.55,12.75,0.98,12.93,98.4,124,ok
4.83,ring,10.7,12.65,1.05,11.75,96.8,109,ok
5.63,ring,10.79,14.05,1.13,11.06,97.0,112,ok
6.03,ring,10.59,14.15,1.13,11.22,97.8,107,ok
6.62,ring,10.48,12.55,1.05,11.84,97.1,107,ok
7.23,ring,10.95,12.61,1.23,10.44,98.2,109,ok
7.83,ring,11.96,13.22,1.25,10.31,98.3,126,ok
8.43,ring,8.19,9.71,1.49,8.76,97.6,84,ok
9.03,ring,11.15,12.73,1.24,10.53,98.9,114,ok
9.83,ring,6.31,12.82,1.26,10.35,98.9,72,ok
10.43,ring,9.95,12.83,1.37,9.72,99.3,137,ok
10.83,ring,10.36,10.22,1.29,11.04,103.3,121,ok
11.23,ring,9.99,10.54,1.28,10.39,99.5,113,ok
11.43,ring,,,,,,,No finger detected.
11.63,ring,,,,,,,No finger detected.
12.03,ring,9.06,10.05,0.99,10.86,90.2,169,ok
12.43,ring,10.18,10.46,1.32,10.48,101.2,122,ok
12.83,ring,10.1,11.15,1.16,11.58,100.6,117,ok
13.23,ring,7.62,8.45,1.14,6.93,75.7,167,ok
13.82,ring,10.28,10.56,1.72,8.15,99.5,103,ok
14.22,ring,10.37,14.15,1.41,10.24,103.3,143,ok
14.83,ring,12.08,13.85,1.85,7.87,101.0,120,ok
15.42,ring,10.1,12.55,1.79,7.69,98.3,101,ok
16.01,ring,9.86,13.95,1.8,7.68,98.4,99,ok
16.42,ring,9.19,10.14,1.94,7.35,99.1,94,ok
16.81,ring,8.55,10.44,1.74,8.06,99.7,87,ok
17.42,ring,8.5,9.74,1.76,8.17,100.9,90,ok
17.82,ring,8.45,9.94,1.77,8.03,100.2,88,ok
18.23,ring,8.43,9.94,1.77,7.99,100.0,88,ok
18.62,ring,10.97,12.85,1.96,7.31,99.3,113,ok
19.21,ring,8.53,9.53,1.81,7.76,99.3,88,ok
19.62,ring,8.67,10.64,1.82,7.78,99.7,90,ok
20.02,ring,8.57,10.44,1.85,7.81,100.6,89,ok
20.62,ring,8.66,9.23,1.79,8.01,100.6,89,ok
21.02,ring,8.99,12.53,1.82,7.59,98.4,93,ok
21.43,ring,8.86,10.22,1.8,7.54,97.6,90,ok
21.83,ring,8.7,9.62,1.81,7.52,97.6,90,ok
22.42,ring,8.7,9.72,1.81,7.6,98.2,90,ok
22.82,ring,8.63,9.42,1.78,7.64,97.8,91,ok
23.43,ring,8.52,9.62,1.75,7.78,98.1,90,ok
23.83,ring,8.68,9.51,1.75,7.79,98.3,91,ok
24.42,ring,8.66,9.71,1.76,7.64,97.4,89,ok
25.02,ring,8.53,9.41,1.79,7.66,98.3,90,ok
25.42,ring,8.62,9.91,1.76,7.76,98.3,90,ok
26.02,ring,8.53,12.41,1.65,8.06,97.6,90,ok
26.42,ring,8.59,9.51,1.68,7.92,97.4,88,ok
26.82,ring,8.46,9.31,1.7,7.81,97.2,88,ok
27.43,ring,8.66,12.51,1.62,8.03,96.6,90,ok
27.83,ring,8.8,9.61,1.68,7.92,97.4,91,ok
28.42,ring,8.71,9.61,1.81,7.71,99.1,92,ok
29.02,ring,8.68,9.61,1.66,8.04,97.7,88,ok
29.42,ring,8.52,9.21,1.71,7.72,96.8,89,ok
29.82,ring,8.54,9.01,1.66,7.98,97.3,90,ok
30.42,ring,8.49,10.01,1.8,7.48,97.2,90,ok
30.81,ring,8.61,9.51,1.77,7.56,97.1,90,ok
31.42,ring,8.58,9.61,1.71,7.81,97.4,90,ok
31.83,ring,8.5,9.31,1.73,7.53,95.9,90,ok
32.42,ring,8.68,9.71,1.75,7.63,97.1,90,ok
32.82,ring,8.61,9.11,1.7,7.8,97.1,90,ok
33.22,ring,8.59,9.71,1.76,7.63,97.4,91,ok
33.82,ring,8.4,9.21,1.72,7.88,98.2,89,ok
34.23,ring,8.45,9.21,1.72,7.79,97.6,89,ok
34.81,ring,8.41,9.21,1.67,8.03,97.9,89,ok
35.42,ring,8.47,9.21,1.72,7.78,97.4,88,ok
35.82,ring,8.42,9.21,1.69,7.91,97.6,86,ok
36.41,ring,8.65,9.31,1.7,7.9,97.8,91,ok
37.02,ring,9.38,12.51,1.7,7.9,97.8,97,ok
37.42,ring,8.49,12.51,1.68,8.0,98.0,90,ok
38.02,ring,8.49,9.31,1.73,7.61,96.5,87,ok
38.42,ring,8.5,9.43,1.65,8.04,97.2,90,ok
39.02,ring,8.58,9.11,1.66,8.0,97.4,90,ok
39.43,ring,8.47,9.22,1.7,7.87,97.4,89,ok
39.82,ring,8.48,9.31,1.7,7.75,96.8,89,ok
40.42,ring,8.48,9.31,1.7,7.83,97.3,90,ok
41.02,ring,8.62,12.51,1.69,7.85,97.2,91,ok
41.41,ring,8.5,9.31,1.73,7.69,97.0,90,ok
42.01,ring,8.54,9.31,1.75,7.69,97.6,90,ok
42.42,ring,8.57,9.41,1.71,7.73,96.9,90,ok
43.01,ring,8.59,9.41,1.72,7.66,96.6,90,ok
43.61,ring,8.46,9.21,1.72,7.76,97.3,88,ok
44.02,ring,8.63,9.41,1.69,7.81,97.0,90,ok
44.61,ring,8.65,9.42,1.72,7.58,95.9,91,ok
45.21,ring,8.61,9.42,1.76,7.67,97.6,90,ok
45.61,ring,8.64,9.72,1.73,7.8,97.7,91,ok
46.21,ring,8.72,9.71,1.76,7.55,96.8,90,ok
46.82,ring,8.59,12.63,1.71,7.73,96.8,91,ok
47.41,ring,8.75,9.81,1.75,7.59,96.8,91,ok
48.01,ring,8.63,9.61,1.77,7.51,96.8,89,ok
48.42,ring,8.66,9.81,1.81,7.32,96.3,90,ok
49.01,ring,8.66,9.71,1.75,7.67,97.4,90,ok
49.41,ring,9.56,14.02,1.8,7.51,97.4,101,ok
